team,gameid,date,home,pts,ppm,poss,tov_rate,reb_rate,oreb_rate,dreb_rate,efpg,tsp,off_eff,def_eff
NOP,22100059,2021-10-27,True,99.0,2.0625,102.5,0.0975609756097561,0.4513274336283185,0.3090909090909091,0.5862068965517241,0.489247311827957,0.4852941176470588,0.9658536585365852,0.9951219512195122
ATL,22100059,2021-10-27,False,102.0,2.125,102.5,0.1073170731707317,0.5486725663716814,0.4137931034482758,0.6909090909090909,0.4583333333333333,0.4513274336283185,0.9951219512195122,0.9658536585365852
MIL,22100060,2021-10-27,True,108.0,2.25,108.5,0.0829493087557603,0.4642857142857143,0.3157894736842105,0.6181818181818182,0.4842105263157895,0.4655172413793103,0.9953917050691244,1.04147465437788
MIN,22100060,2021-10-27,False,113.0,2.3541666666666665,108.5,0.1566820276497695,0.5357142857142857,0.3818181818181818,0.6842105263157895,0.5439560439560439,0.5231481481481481,1.04147465437788,0.9953917050691244
OKC,22100061,2021-10-27,True,123.0,2.5625,111.5,0.1434977578475336,0.5306122448979592,0.3773584905660377,0.7111111111111111,0.5872093023255814,0.5347826086956522,1.1031390134529149,1.031390134529148
LAL,22100061,2021-10-27,False,115.0,2.395833333333333,111.5,0.1524663677130044,0.4693877551020408,0.2888888888888888,0.6226415094339622,0.5597826086956522,0.5424528301886793,1.031390134529148,1.1031390134529149
PHX,22100062,2021-10-27,True,107.0,2.2291666666666665,109.0,0.1009174311926605,0.5739130434782609,0.4210526315789473,0.7241379310344828,0.4838709677419355,0.4572649572649572,0.981651376146789,1.0091743119266054
SAC,22100062,2021-10-27,False,110.0,2.2916666666666665,109.0,0.110091743119266,0.4260869565217391,0.2758620689655172,0.5789473684210527,0.5210526315789473,0.5,1.0091743119266054,0.981651376146789
POR,22100063,2021-10-27,True,116.0,2.4166666666666665,105.5,0.1327014218009478,0.4516129032258064,0.3333333333333333,0.5263157894736842,0.5535714285714286,0.5043478260869565,1.099526066350711,0.909952606635071
MEM,22100063,2021-10-27,False,96.0,2.0,105.5,0.2085308056872037,0.5483870967741935,0.4736842105263157,0.6666666666666666,0.453125,0.417391304347826,0.909952606635071,1.099526066350711
